"sigma_0_x/sigma_0_y","w_x/w_y"
1.2,0.9
1.21632653061224,0.912244897959184
1.23265306122449,0.924489795918367
1.24897959183673,0.936734693877551
1.26530612244898,0.948979591836735
1.28163265306122,0.961224489795918
1.29795918367347,0.973469387755102
1.31428571428571,0.985714285714286
1.33061224489796,0.997959183673469
1.3469387755102,1.01020408163265
1.36326530612245,1.02244897959184
1.37959183673469,1.03469387755102
1.39591836734694,1.0469387755102
1.41224489795918,1.05918367346939
1.42857142857143,1.07142857142857
1.44489795918367,1.08367346938775
1.46122448979592,1.09591836734694
1.47755102040816,1.10816326530612
1.49387755102041,1.12040816326531
1.51020408163265,1.13265306122449
1.5265306122449,1.14489795918367
1.54285714285714,1.15714285714286
1.55918367346939,1.16938775510204
1.57551020408163,1.18163265306122
1.59183673469388,1.19387755102041
1.60816326530612,1.20612244897959
1.62448979591837,1.21836734693878
1.64081632653061,1.23061224489796
1.65714285714286,1.24285714285714
1.6734693877551,1.25510204081633
1.68979591836735,1.26734693877551
1.70612244897959,1.27959183673469
1.72244897959184,1.29183673469388
1.73877551020408,1.30408163265306
1.75510204081633,1.31632653061224
1.77142857142857,1.32857142857143
1.78775510204082,1.34081632653061
1.80408163265306,1.3530612244898
1.82040816326531,1.36530612244898
1.83673469387755,1.37755102040816
1.8530612244898,1.38979591836735
1.86938775510204,1.40204081632653
1.88571428571429,1.41428571428571
1.90204081632653,1.4265306122449
1.91836734693878,1.43877551020408
1.93469387755102,1.45102040816327
1.95102040816327,1.46326530612245
1.96734693877551,1.47551020408163
1.98367346938776,1.48775510204082
2,1.5
