"sigma_0_ratio_data","w_ratio_data","order_param"
1.4279814788827,1.14795720865326,0.210555301262269
1.43630058233664,1.19344764885614,0.223782374922254
1.34668459287349,1.20743309317409,0.21874601298825
1.3935855173977,1.23886589304703,0.230258706200241
1.41121565706487,1.25130805999392,0.209505585972893
1.42726391896177,1.14493208231143,0.241925464029609
1.41636202883078,1.30034759297387,0.253703853572102
1.42219822584309,1.1716826855277,0.23531615432577
1.47687813088205,1.37812356663817,0.251632253967563
1.41042938935144,0.996238734649858,0.274128245182349
1.46030428057673,1.08159020923026,0.219369610285682
1.45754407845698,1.07693960829339,0.238077229402981
1.46090508230092,1.18158283473399,0.238374970040606
1.4864087406775,1.11356726255773,0.256691261626435
1.42976207919002,1.10428504641797,0.256353823954719
1.50513736636638,1.14557352417014,0.243671509050203
1.46502839884342,1.0856130474982,0.258332703047817
1.41585172169162,1.0615239492018,0.262403977605501
1.48085897579528,1.1316894289536,0.260126223770451
1.53557352549515,1.21428463335235,0.239453648836135
1.55655219033816,1.29031004154298,0.28843891770576
1.51282469714453,0.971505870427165,0.305760504304793
1.52467793072821,1.15469996161784,0.265135626327094
1.47986630871972,1.21165399050865,0.286326591138419
1.49322554189974,1.24154349929819,0.275536671586911
1.54725206193967,1.23632451447873,0.303568613534682
1.46978743409865,1.11327970229502,0.304883318514336
1.57542676182349,1.12324101446721,0.278838336639477
1.56911914246994,1.06134583928087,0.314260759009194
1.59320986226146,1.08061257780104,0.305689657360941
1.56324145492998,1.10255944967934,0.297547157142807
1.64831183199246,1.09138966864621,0.305831577277187
1.57349065706782,1.14455550169571,0.301965780477748
1.64311280093149,1.17896185160204,0.308308607377941
1.61097375694419,1.23967732637048,0.330688869130612
1.54577398088265,1.08557205055867,0.336282513840419
1.5995824123743,1.19008310751426,0.305826305336645
1.68019748635806,1.1597605269764,0.324592517149031
1.58301333218386,1.18714256837285,0.343516530762582
1.59268099224095,1.21770607914772,0.337189200344616
1.60322742072215,1.39911612316525,0.327071080337077
1.65936722885521,1.25370689486473,0.341748249442441
1.58707229246279,1.15207677605107,0.347479549905887
1.62629575378291,1.22607279783363,0.340485971733556
1.67348928580848,1.11191018495435,0.316539560925494
1.66146797601661,1.23115755604227,0.332908924123937
1.64198004777112,1.12785144951216,0.328703911406538
1.67020659064365,1.12777898547921,0.348959098198458
1.65544220924707,1.1425003173881,0.330675249126587
1.64736027548251,1.22556805927335,0.345005045038649
1.66936596102062,1.15890475714357,0.354975155507972
1.58832190158869,1.16898194189584,0.346287094419198
1.63833257422954,1.28693160608138,0.333617362461697
1.65197823177941,1.15608079434535,0.352487180394515
1.60176533170241,1.26468508142796,0.336608207771856
1.62365290234236,1.15128118112994,0.346763540846698
1.61668520372961,1.1998509591402,0.353888719048704
1.71450841605357,1.06822325555654,0.3458053928869
1.75276988787035,1.07802028878864,0.330412863072638
1.75355191881298,1.15898450483315,0.359306452546195
1.70257589800038,1.13355071020384,0.379831025678613
1.71415669949059,1.02734897545958,0.362179311876421
1.68756251472104,1.24726904807173,0.352228096654756
1.73348978649951,1.13884276667147,0.362059044981531
1.72228003358941,1.19527054135567,0.376166307789728
1.70544390982775,1.21147807092349,0.359433676169432
1.71127178417974,1.18727418604936,0.363130803481461
1.69374976454883,1.20698398359742,0.367337687163044
1.67214588437998,1.12063433214237,0.376496431200828
1.71788469294908,1.0481346696599,0.352940075645736
1.65197742425199,1.1152755635419,0.351034355628394
1.67278487422969,1.28028595305936,0.332771423509294
1.74739962850796,1.11745380203605,0.365459112286662
1.75131837003444,1.14118847481462,0.346021979032521
1.75821532369871,1.18433190152379,0.358589139112385
1.77386638390766,1.17873099197914,0.362918814427563
1.77694512167493,1.05770827919937,0.382746044188221
1.76657447113989,1.16292733532183,0.372043924131404
1.76296650131096,1.19338576705389,0.358468702474
1.75968218104504,1.13205595206474,0.357781336721358
1.74266536136559,1.20787485836044,0.366296889600062
1.75310494790906,1.16787541693338,0.377182537473666
1.75250028528341,1.13912540098657,0.368164715217279
1.79051103191781,1.15489009235493,0.36789807962536
1.75249956796665,1.19284854130356,0.370099696415485
1.76226745892307,1.2518019513246,0.366640491860779
1.82209977022019,1.19193052336947,0.378586251638741
1.86811635330638,1.21741850586196,0.370306331287553
1.79450758520515,1.08562292352108,0.394483601131806
1.82383197262514,1.15208483623077,0.375736857022969
1.82773789703612,1.13889497415583,0.366866256543871
1.83413978205034,1.13840370172988,0.376993947335572
1.78232256529624,1.18536978075466,0.397119271441082
1.82023195176603,1.17824927194662,0.37633297983561
1.85562538873334,1.1586273873822,0.384040138956838
1.82124267575957,1.21942990973291,0.375724595215703
1.84285216436554,1.11735455139055,0.38080521572774
1.91298592392455,1.12825080264979,0.361106046546704
1.87174819717543,1.03527547412193,0.373740907044986
1.90153754520051,1.25012156089788,0.369479030153152
1.8713221774623,1.20480038937652,0.381283063522503
1.81210281963696,1.2348421747013,0.379128109621108
1.83233620089408,1.12733512896552,0.377806103674031
1.87785496078327,1.14868747097049,0.372902625697235
